PassengerId,Sex,Age,Class,SeatRow,SeatZone,NearExit,SeatPos,AisleSeat,Fare,Gate,Luggage,WithChildren,Survived,SurvivalProb_true
1,male,41.5,3,14,Middle,0,Middle,0,143.33,A,1,0,0,0.364
2,male,13.6,3,8,Front,0,Window,0,157.59,C,0,0,1,0.509
3,female,12.1,2,4,Front,0,Window,0,176.23,A,1,0,1,0.772
4,male,48.1,2,2,Front,1,Window,0,170.07,B,1,0,1,0.701
5,female,9.3,3,19,Middle,0,Middle,0,75.34,C,0,0,1,0.825
6,male,48.8,3,10,Front,1,Window,0,144.87,B,2,0,0,0.608
7,male,45.0,2,11,Middle,1,Aisle,1,219.97,A,1,0,1,0.666
8,female,24.7,2,8,Front,0,Window,0,231.1,A,0,0,0,0.764
9,male,36.6,2,19,Middle,0,Window,0,268.31,C,1,0,0,0.478
10,male,45.0,1,20,Middle,1,Window,0,381.71,C,1,0,1,0.633
11,male,29.7,3,27,Rear,0,Window,0,116.22,A,1,0,1,0.255
12,male,23.2,2,19,Middle,0,Window,0,288.17,B,2,0,0,0.414
13,female,45.0,2,26,Rear,0,Middle,0,216.8,C,1,0,1,0.727
14,male,43.7,2,23,Rear,0,Middle,0,161.03,C,0,0,0,0.455
15,female,51.3,2,13,Middle,0,Middle,0,215.72,B,0,0,1,0.514
16,male,19.5,2,25,Rear,0,Window,0,230.72,B,1,1,0,0.39
17,male,40.0,2,30,Rear,1,Aisle,1,266.46,B,1,0,1,0.555
18,male,34.8,3,17,Middle,0,Aisle,1,60.05,A,2,0,0,0.265
19,female,49.6,3,10,Front,1,Aisle,1,155.98,A,1,0,1,0.835
20,male,30.5,3,9,Front,0,Middle,0,141.52,B,2,0,0,0.199
21,male,19.3,3,5,Front,0,Window,0,118.98,C,1,0,0,0.354
22,female,39.8,3,13,Middle,0,Aisle,1,75.88,B,2,0,1,0.664
23,male,9.6,2,21,Rear,1,Aisle,1,198.91,A,0,0,1,0.758
24,male,19.9,1,7,Front,0,Window,0,349.31,B,2,0,1,0.631
25,male,32.3,3,27,Rear,0,Aisle,1,110.03,A,1,0,1,0.431
26,male,52.4,2,15,Middle,0,Aisle,1,170.06,B,1,0,1,0.515
27,male,13.4,1,10,Front,1,Aisle,1,411.29,C,2,0,1,0.681
28,female,27.8,3,4,Front,0,Window,0,85.79,B,0,0,1,0.738
29,male,28.4,2,22,Rear,0,Middle,0,220.56,A,1,1,0,0.415
30,male,5.0,2,26,Rear,0,Aisle,1,277.59,A,0,1,1,0.63
31,male,40.6,2,13,Middle,0,Aisle,1,211.14,A,1,0,0,0.478
32,male,25.8,3,12,Middle,0,Window,0,155.79,A,1,0,0,0.371
33,female,30.4,2,23,Rear,0,Window,0,247.09,C,1,1,0,0.689
34,male,37.6,1,30,Rear,1,Window,0,327.7,A,1,0,1,0.707
35,female,16.2,2,8,Front,0,Aisle,1,229.2,C,1,1,1,0.847
36,female,16.6,3,20,Middle,1,Aisle,1,81.85,A,2,1,1,0.644
37,female,55.3,1,2,Front,1,Window,0,384.69,A,1,0,1,0.891
38,male,34.0,1,4,Front,0,Window,0,258.98,C,2,0,1,0.647
39,female,50.9,2,14,Middle,0,Aisle,1,228.18,A,1,0,1,0.72
40,female,56.3,3,19,Middle,0,Window,0,97.43,A,1,0,1,0.668
41,male,40.3,3,24,Rear,0,Window,0,141.31,A,1,0,1,0.287
42,male,20.5,2,26,Rear,0,Aisle,1,285.17,A,1,0,1,0.444
43,female,62.5,1,13,Middle,0,Aisle,1,301.44,A,1,0,1,0.802
44,male,31.2,2,21,Rear,1,Window,0,194.11,C,1,0,1,0.448
45,female,26.4,2,30,Rear,1,Window,0,275.48,B,1,0,1,0.697
46,male,40.9,3,17,Middle,0,Window,0,111.93,A,0,0,1,0.261
47,male,48.2,3,1,Front,1,Aisle,1,113.98,B,0,0,0,0.58
48,male,43.0,3,20,Middle,1,Middle,0,109.2,A,1,0,0,0.482
49,male,29.2,3,30,Rear,1,Middle,0,113.65,A,2,1,1,0.372
50,male,48.9,3,5,Front,0,Window,0,108.72,A,2,0,1,0.452
